SANREMO, VENTIMIGLIA, 11
PAVIA, TORTONA, 22
TORTONA, GENOVA P.PRINCIPE, 44
SESTRI LEVANTE, LAVAGNA, 9
LAVAGNA, CHIAVARI, 5
RAPALLO, S. MARGHERITA LIGURE PORTOFINO, 5
S. MARGHERITA LIGURE PORTOFINO, GENOVA BRIGNOLE, 23
PAVIA, MILANO ROGOREDO, 20
IMPERIA, ALASSIO, 20
MILANO LAMBRATE, PAVIA, 22
GENOVA P.PRINCIPE, TORTONA, 50
ALASSIO, IMPERIA, 23
LA SPEZIA CENTRALE, LEVANTO, 16
RAPALLO, CAMOGLI SAN FRUTTUOSO, 8
CAMOGLI SAN FRUTTUOSO, GENOVA BRIGNOLE, 35
MILANO ROGOREDO, PAVIA, 19
GENOVA BRIGNOLE, CAMOGLI SAN FRUTTUOSO, 22
CAMOGLI SAN FRUTTUOSO, RAPALLO, 9
TORTONA, PAVIA, 26
VOGHERA, TORTONA, 11
PAVIA, MILANO LAMBRATE, 28
MILANO LAMBRATE, MILANO CENTRALE, 10
METAPONTO, FERRANDINA, 38
FERRANDINA, GRASSANO, 17
GRASSANO, POTENZA CENTRALE, 37
POTENZA CENTRALE, BELLA MURO, 31
BELLA MURO, SICIGNANO DEGLI ALBURNI, 24
SICIGNANO DEGLI ALBURNI, EBOLI, 23
EBOLI, BATTIPAGLIA, 11
BATTIPAGLIA, EBOLI, 8
EBOLI, SICIGNANO DEGLI ALBURNI, 24
SICIGNANO DEGLI ALBURNI, BELLA MURO, 25
BELLA MURO, POTENZA CENTRALE, 32
POTENZA CENTRALE, GRASSANO, 38
GRASSANO, FERRANDINA, 15
FERRANDINA, METAPONTO, 27
ROMA TERMINI, FROSINONE, 61
FROSINONE, CASSINO, 49
CASSINO, VAIRANO, 31
VAIRANO, CASERTA, 35
CASERTA, AMOROSI MELIZZANO, 22
AMOROSI MELIZZANO, TELESE CERRETO, -7
TELESE CERRETO, BENEVENTO, 5
BENEVENTO, ARIANO IRPINO, 24
ARIANO IRPINO, FOGGIA, 30
FOGGIA, ARIANO IRPINO, 53
ARIANO IRPINO, BENEVENTO, 34
BENEVENTO, S.LORENZO MAGGIORE, 15
S.LORENZO MAGGIORE, SOLOPACA, 11
SOLOPACA, TELESE CERRETO, 10
TELESE CERRETO, CASERTA, 25
CASERTA, VAIRANO, 31
VAIRANO, CASSINO, 20
CASSINO, FROSINONE, 31
FROSINONE, ROMA TERMINI, 69
MESSINA CENTRALE, VILLA SAN GIOVANNI, 75
GIOIA TAURO, LAMEZIA TERME CENTRALE, 35
LAMEZIA TERME CENTRALE, PAOLA, 38
PAOLA, SAPRI, 54
SAPRI, SALERNO, 75
PALERMO CENTRALE, TERMINI IMERESE, 33
TERMINI IMERESE, CEFALU`, 25
CEFALU`, S.AGATA M., 49
S.AGATA M., CAPO D`ORLANDO-NASO, 16
CAPO D`ORLANDO-NASO, PATTI-SAN PIERO PATTI, 17
PATTI-SAN PIERO PATTI, BARCELLONA, 7
BARCELLONA, MILAZZO, 3
MILAZZO, MESSINA CENTRALE, 20
S.AGATA M., CEFALU`, 50
